name,address,tinNumber,taxClass,code,principal,terms,remark,active
Exal's Rice & Poultry Supply ,"42 Baretto St., East Bajac- Bajac, Olongapo City",117-041-512-000,nonvat,Exal's,,15 days,,
F.A.B ENTERPRISES,"1458 Rina St., Sta. Maria Village1. Balibago, Angeles City     ",161-975-806-000    ,vat,FAB,,30 days,,
"Full Line Distributors, Inc.","Ramar Village, San Agustin, City Of San Fernando Pampanga",004-091-159-000,vat,FLDI,CDO,15 days,,
G528 Corporation ,"2nd Floor, Room B., Lots 9 & 10 Greenwood Park Cbd Area, Sbfz",008-088-449-000,vat,G528,smile,30 days,,
Gabby's Marketing (Bataan) Inc.,"1 National Hiway, San Ramon, Dinalupihan, Bataan",004-087-057-000,vat,Gabby's,Leslie,15 days,,
GAC Distribution Center Corporation,"Carmen West Rosales, Pangasinan",006-150-678-000,vat,GAC,GSM,15 days,,
"Gardenia Bakeries (Philippines), Inc.","Teco Industrial Park. Bo. Bundagul, Mabalacat City Pampanga",004-526-681-00003,vat,Gardenia,Gardenia,30 days,,
Goldenrise Food Corporation,"4 Carolyn Park, Baesa, Quezon City",009-063-844-000,vat,Goldenrise,Mr. pullman,30 days,,
Goodluck Sales Corporation,"Phase 3 St. Dominic Subd., Dolores, San Fernando Pampanga",205-272-263-000,vat,Goodluck,Wyeth,15 days,,
"Gymboree Marketing International, Inc.",Ccmc Compound Muralla Industrial Park Iba Meycauayan Bulacan,005-516-324-008,vat,Gymboree,,15 days,,
"International Pharmaceuticals, Inc.","Jasa Road, Lagundi Mexico, Pampanga",000-309-701-00022,vat,IPI,,30 days,,
J.A.S Philtrade Inc.,"339 Mc Arthur Hi-Way, Ninoy Aquino, Angeles City, Pampanga",007-011-015-000,vat,JAS,,30 days,,
Janby Marketing Corporation,"Wawandue, Subic Zambales",235-031-003-000,vat,Janby,Nestle,15 days,,
JBC Food Corporation,"Llano Road, Caloocan City",000-301-205-00000,vat,JBC,,,,
"John Kriska Distribution Center, Inc.","4th., Tagumpay, Sindalan, City Of San Fernando, Pampanga",006-817-957-000,vat,JKDC,Johnson&johnson,15 days,,
Josef Daniel Sf Marketing,"B3 L18 Liwayway Homes Anabu I, Imus, Cavite 4103",298-836-117-000,vat,Josef Daniel,Liwayway -Oishi,15 days,,
JTEC Distribution Inc.,"Mexico Techno Center, Pandacaqui, Mexico Pampanga",212-808-235-000,vat,JTEC,,15 days,,
Jucom Trading Corp.,"528 Comercio St., Brgy. 271 Zone 25 Dist 111 Tondo, Manila",001-566-908-000,vat,Jucom,,,,
"Kawsek, Inc.","415 Arayat St., Mandaluyong City",000-057-073-000,vat,Kawsek,,30 days,,
Land Trade Marketing,"Purok Ii, Ipil Lane, Old Cabalan, Olongapo City",229-744-612-000,vat,LandTrade,,15 days,,
Lara's Gen. Mdse.,"81 Murphy St., Pag-Asa, Olongapo City",222-363-643-000,vat,Lara's,Mother Earth,15 days,,
Lemjen Marketing,"8th St., San Jose, San Jose, City Of San Fernando, Pampanga",XXX,,Lemjem,Pampanga's Best,7 days,,
Leo Mina,"Cabling Lane Sta. Rita., Olongapo City  ",XXX,nonvat,Leo Egg,,,,
LSK General Wax & Candle Commercial,"638 Ilang-ilang St., Brgy 281 Zone 26, Tondo, Manila   ",169-063-410-000,vat,LSK,,30 days,,
M2Z Marketing       ,"10-46 Duhat, Trinidad Vllge, Calibutbut,Bacolor, Pampanga   ",229-021-282-000,vat,M2Z,,,,
Manabat- Sampang Marketing  ,"Juan Ext., Dinalupihan, Bataan",922-565-696-000 ,vat,Manabat-Sampang,PGMC silver swan,15 days,,
Marby Food Ventures Corporation,"Barangay Balubad, Bulacan, Bulacan",000-057-562-000,vat,Marby Bread,marby,30 days,,
Marby Food Ventures Corporation (Frozen),"San Francisco Bulakan, Bulacan",000-057-562-003,vat,Marby Frozen,marby,,,
"Marina Sales, Inc.","17 Brixton Cor. Reliance St., Brgy Kapitolyo Pasig City",000-185-690-00000,vat,Marina,Lemon Sqr,30 days,,
"Marketreach Distributors, Inc.","15 Scout Madrinan St., South Traingle, Diliman Quezon City",000-341-999-000,vat,Marketreach,,15 days,,
Maunlad Canning Corporation,"631 Elcano St., Brgy. 281, Zone 026, San Nicolas, Manila",000-247-447-000,vat,Manlad,youngstown,,,
Maxiplus Marketing Corporation,"Mac Arthur Highway, Saguin, City Of San Fernando, Pampanga",006-520-595-000,vat,Maxiplus,champion,15 days,,
"McKenzie Distribution Co., Inc.","Unit ABC 86 E. Rodriguez Jr. Avenue, Quezon City",004-456-698-000,vat,McKenzie,,15 days,,
Mercedita's Bakeshop,"Public Market Baraca, Subic Zambales",132-561-312-000,nonvat,Mercedita's,Mercedita's,,,
Micro-B Incorporated,"22 5th West Tapinac, Olongapo City",000-252-972-000,vat,Micro-B,yakult,7 days,,
Million Dreams Trading ,"9023 Purok 3. San Isidro Bambang, Bulacan, Bulacan",181-750-755-000,nonvat,MillionDreams,,,,
MKY General Merchandise ,"810 Sto. Cristo St. Brgy. 262 Zone 25, Tondo, Manila",103-895-870-000,vat,MKY,,,,
Multirich Foods Corporation,"9007 Ts Miguel Villarica Rd. Brgy. Patubig, Marilao, Bulacan",005-469-964-000,vat,Multirich,,,,
